CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;30;3;0;NA;NA;1.63;0.76;0.01
2;FALSE;129;6;1;5;NA;0.38;2.01;0.46
3;FALSE;179;1;1;NA;NA;1.01;0.14;0.69
4;FALSE;80;5;2;NA;3;2.26;1.39;0.24
5;FALSE;105;2;2;NA;NA;0.69;1.07;0.12
6;FALSE;55;0;2;NA;NA;1.32;0.45;0.8
7;TRUE;154;4;0;NA;NA;0.07;1.7;0.35
8;FALSE;42;3;1;NA;NA;1.48;1.54;0.29
9;FALSE;142;0;0;NA;NA;0.23;0.29;0.74
10;FALSE;192;5;2;NA;2;0.85;2.17;0.52
11;FALSE;92;2;0;NA;NA;2.1;0.92;0.07
12;FALSE;117;4;1;NA;NA;1.16;1.86;0.41
13;TRUE;18;1;2;NA;NA;2.41;0.61;0.86
14;FALSE;67;6;0;6;NA;1.79;2.48;0.63
15;FALSE;167;3;1;NA;NA;0.54;1.23;0.18
16;FALSE;123;1;1;NA;NA;1.87;2.25;0.88
17;FALSE;24;4;0;NA;NA;0.62;1;0.43
18;FALSE;173;6;0;9;NA;2.49;0.37;0.66
19;FALSE;74;2;2;NA;NA;1.24;1.62;0.21
20;FALSE;198;1;0;NA;NA;1.55;1.31;0.1
21;FALSE;98;5;1;NA;5;0.3;0.06;0.55
22;TRUE;49;0;1;NA;NA;0.93;1.93;0.77
23;FALSE;148;3;2;NA;NA;2.18;0.68;0.32
24;FALSE;136;3;1;NA;NA;2.34;1.46;0.04
25;FALSE;185;5;2;NA;5;1.71;0.84;0.26
26;FALSE;86;1;0;NA;NA;0.46;2.09;0.71
27;FALSE;111;5;0;NA;4;1.4;0.53;0.6
28;TRUE;11;2;1;NA;NA;0.15;1.78;0.15
29;FALSE;161;0;2;NA;NA;2.02;2.4;0.83
30;TRUE;61;4;0;NA;NA;0.77;1.15;0.38
31;FALSE;114;2;0;NA;NA;0.81;0.41;0.31
32;FALSE;164;4;2;NA;NA;0.19;2.28;0.08
33;TRUE;87;4;2;NA;NA;1.99;0.59;0.87
34;FALSE;25;4;2;NA;NA;0.22;1.95;0.05
35;FALSE;120;4;2;NA;NA;0.63;1.25;0.16
36;FALSE;103;3;2;NA;NA;0.41;1.11;0.39
37;FALSE;155;5;0;NA;5;0.74;1.76;0.48
38;TRUE;17;4;2;NA;NA;0.02;1.36;0.15
39;FALSE;75;6;1;14;NA;0.97;0.8;0.41
40;FALSE;8;5;2;NA;9;1.18;0.99;0.47
41;FALSE;62;0;2;NA;NA;1.82;0.62;0.24
42;FALSE;58;1;0;NA;NA;2.22;0.53;0.72
43;FALSE;117;4;1;NA;NA;0.21;2.3;0.42
44;FALSE;49;5;1;NA;6;1.51;1.74;0.31
45;FALSE;11;0;0;NA;NA;1.65;0.25;0.85
46;FALSE;67;4;1;NA;NA;0.36;1.69;0.3
47;TRUE;31;1;2;NA;NA;1.34;1.96;0.58
48;FALSE;141;2;0;NA;NA;1.03;0.96;0.34
49;FALSE;164;6;0;19;NA;0.19;1.07;0.54
50;TRUE;7;4;1;NA;NA;1.85;2.35;0.11
51;FALSE;169;4;0;NA;NA;1.59;0.58;0.54
52;FALSE;103;4;1;NA;NA;0.88;1.32;0.22
53;FALSE;113;1;0;NA;NA;0.27;1.06;0.4
54;FALSE;17;5;2;NA;3;0.97;0.19;0.59
55;FALSE;34;0;1;NA;NA;1.59;1.05;0.32
56;FALSE;121;3;0;NA;NA;0.56;0.3;0.18
57;FALSE;65;1;2;NA;NA;0.11;2.08;0.26
