CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;FALSE;176;6;0;20;NA;0.94;0.5;0.05
2;FALSE;FALSE;77;3;1;NA;NA;2.19;1.75;0.5
3;FALSE;FALSE;127;1;2;NA;NA;0.31;2.37;0.28
4;FALSE;FALSE;27;5;1;NA;2;1.56;1.12;0.73
5;FALSE;FALSE;2;0;0;NA;NA;2.5;2.06;0.39
6;FALSE;FALSE;102;4;2;NA;NA;1.25;0.81;0.84
7;FALSE;FALSE;151;2;1;NA;NA;0.62;1.44;0.62
8;FALSE;FALSE;52;5;2;NA;6;1.87;0.19;0.17
9;FALSE;FALSE;189;0;1;NA;NA;1.09;2.22;0.34
10;FALSE;FALSE;89;3;0;NA;NA;2.34;0.97;0.79
11;FALSE;FALSE;39;1;2;NA;NA;1.72;1.59;0.56
12;FALSE;FALSE;139;5;0;NA;3;0.47;0.34;0.11
13;FALSE;FALSE;114;2;0;NA;NA;0.78;1.28;0.67
14;FALSE;FALSE;64;1;1;NA;NA;1.41;1.9;0.45
15;TRUE;FALSE;164;4;2;NA;NA;0.16;0.65;0.9
16;FALSE;FALSE;71;4;1;NA;NA;0.7;1.51;0.87
17;FALSE;FALSE;170;0;0;NA;NA;1.95;0.26;0.42
18;FALSE;FALSE;21;2;0;NA;NA;0.08;0.89;0.65
19;FALSE;FALSE;95;0;2;NA;NA;0.39;0.58;0.31
20;FALSE;FALSE;195;3;1;NA;NA;1.64;1.83;0.76
21;FALSE;FALSE;145;1;1;NA;NA;2.27;1.2;0.53
22;FALSE;FALSE;46;5;0;NA;5;1.02;2.45;0.08
23;TRUE;FALSE;133;4;0;NA;NA;2.11;1.67;0.7
24;FALSE;FALSE;33;1;2;NA;NA;0.86;0.42;0.25
25;FALSE;FALSE;83;6;1;12;NA;0.23;2.29;0.03
26;FALSE;FALSE;183;3;2;NA;NA;1.48;1.04;0.48
27;FALSE;FALSE;58;2;0;NA;NA;1.17;0.73;0.59
28;FALSE;FALSE;158;5;1;NA;2;2.42;1.98;0.14
29;FALSE;FALSE;8;3;2;NA;NA;0.55;1.36;0.81
30;FALSE;FALSE;108;0;0;NA;NA;1.8;0.11;0.36
