CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;ras;1;1.8;0.88;0.38;91;NA;16;NA;18;0
2;FALSE;FALSE;as;3;4.3;5.88;0.88;43;NA;NA;NA;41;1
3;FALSE;FALSE;mmas;0;0.55;3.38;0.63;19;NA;NA;NA;NA;NA
4;FALSE;FALSE;acs;2;3.05;8.38;0.14;67;0.61;NA;NA;6;0
5;FALSE;FALSE;mmas;2;2.43;4.63;0.51;31;NA;NA;NA;24;0
6;FALSE;FALSE;ras;0;4.93;9.63;0.01;79;NA;78;NA;NA;NA
7;FALSE;FALSE;as;1;3.68;7.13;0.75;7;NA;NA;NA;12;0
8;FALSE;FALSE;eas;3;1.18;2.13;0.26;55;NA;NA;438;35;1
9;FALSE;FALSE;mmas;0;1.49;7.75;0.32;37;NA;NA;NA;NA;NA
10;FALSE;FALSE;ras;2;3.99;2.75;0.82;85;NA;47;NA;50;0
11;FALSE;FALSE;acs;1;0.24;5.25;0.57;61;0.3;NA;NA;38;0
12;FALSE;FALSE;eas;3;2.74;0.25;0.07;13;NA;NA;485;15;1
13;FALSE;FALSE;mmas;1;4.62;1.5;0.2;49;NA;NA;NA;44;0
14;FALSE;FALSE;acs;3;2.12;6.5;0.69;97;0.92;NA;NA;21;1
15;FALSE;FALSE;as;2;0.87;9;0.45;25;NA;NA;NA;32;0
16;FALSE;FALSE;eas;0;3.37;4;0.94;73;NA;NA;579;NA;NA
17;FALSE;FALSE;eas;1;1.96;9.94;0.91;88;NA;NA;415;34;1
18;TRUE;FALSE;acs;3;4.46;4.94;0.41;40;0.08;NA;NA;11;0
19;FALSE;FALSE;mmas;2;3.21;2.44;0.66;64;NA;NA;NA;45;1
20;FALSE;FALSE;ras;0;0.71;7.44;0.17;16;NA;100;NA;NA;NA
21;FALSE;FALSE;ras;2;1.34;6.19;0.04;52;NA;38;NA;28;1
22;FALSE;FALSE;as;0;3.84;1.19;0.54;100;NA;NA;NA;NA;NA
23;FALSE;FALSE;mmas;3;0.09;8.69;0.79;76;NA;NA;NA;17;0
24;FALSE;FALSE;acs;1;2.59;3.69;0.29;28;0.7;NA;NA;40;1
25;FALSE;FALSE;eas;1;4.15;8.06;0.72;34;NA;NA;555;14;1
26;FALSE;FALSE;as;3;1.65;3.06;0.23;82;NA;NA;NA;37;0
27;FALSE;FALSE;mmas;0;2.9;5.56;0.48;58;NA;NA;NA;NA;NA
28;FALSE;FALSE;acs;2;0.4;0.56;0.97;10;0.39;NA;NA;25;1
29;FALSE;FALSE;ras;3;3.52;9.31;0.6;22;NA;69;NA;42;0
30;FALSE;FALSE;as;1;1.02;4.31;0.1;70;NA;NA;NA;19;1
31;FALSE;FALSE;eas;2;4.77;6.81;0.35;94;NA;NA;649;8;1
32;FALSE;FALSE;acs;0;2.27;1.81;0.85;46;0.77;NA;NA;NA;NA
33;FALSE;FALSE;ras;1;0.48;9.16;0.83;39;NA;49;NA;9;1
34;FALSE;FALSE;as;3;2.98;4.16;0.34;87;NA;NA;NA;32;0
35;FALSE;FALSE;acs;2;4.23;1.66;0.58;15;0.13;NA;NA;20;1
36;FALSE;FALSE;mmas;0;1.73;6.66;0.09;63;NA;NA;NA;NA;NA
37;FALSE;FALSE;ras;3;2.35;7.91;0.96;27;NA;86;NA;49;0
38;FALSE;FALSE;mmas;1;4.85;2.91;0.46;75;NA;NA;NA;26;1
39;FALSE;FALSE;acs;0;3.6;0.41;0.71;51;0.5;NA;NA;NA;NA
40;FALSE;FALSE;eas;2;1.1;5.41;0.21;99;NA;NA;262;14;1
41;FALSE;FALSE;mmas;3;3.91;9.78;0.65;69;NA;NA;NA;23;0
42;FALSE;FALSE;ras;1;1.41;4.78;0.15;21;NA;42;NA;46;1
43;FALSE;FALSE;eas;2;2.66;7.28;0.4;45;NA;NA;309;34;1
44;FALSE;FALSE;as;0;0.16;2.28;0.89;93;NA;NA;NA;NA;NA
45;FALSE;FALSE;acs;3;0.79;3.53;0.03;33;0.31;NA;NA;6;0
46;FALSE;FALSE;eas;1;3.29;8.53;0.52;81;NA;NA;28;29;1
47;FALSE;FALSE;as;2;2.04;1.03;0.77;57;NA;NA;NA;40;1
48;FALSE;FALSE;ras;0;4.54;6.03;0.28;9;NA;55;NA;NA;NA
49;FALSE;FALSE;eas;3;4.69;0.72;0.18;60;NA;NA;51;30;1
50;FALSE;FALSE;as;1;2.19;5.72;0.68;12;NA;NA;NA;7;0
51;FALSE;FALSE;acs;0;0.94;8.22;0.43;84;0.47;NA;NA;NA;NA
52;FALSE;FALSE;mmas;2;3.44;3.22;0.92;36;NA;NA;NA;19;0
53;FALSE;FALSE;acs;2;1.57;9.47;0.31;72;0.84;NA;NA;13;0
54;FALSE;FALSE;eas;0;4.07;4.47;0.8;24;NA;NA;333;NA;NA
55;FALSE;FALSE;as;3;0.32;6.97;0.55;48;NA;NA;NA;47;1
56;FALSE;FALSE;ras;1;2.82;1.97;0.06;96;NA;33;NA;24;0
57;FALSE;FALSE;ras;3;3.13;5.09;0.86;90;NA;89;NA;27;1
58;FALSE;FALSE;mmas;1;0.63;0.09;0.37;42;NA;NA;NA;50;0
59;FALSE;FALSE;eas;0;1.88;2.59;0.62;66;NA;NA;192;NA;NA
60;FALSE;FALSE;as;2;4.38;7.59;0.12;18;NA;NA;NA;39;0
61;FALSE;FALSE;as;0;2.51;8.84;0.24;30;NA;NA;NA;NA;NA
62;FALSE;FALSE;ras;2;0.01;3.84;0.74;78;NA;2;NA;45;0
63;FALSE;FALSE;acs;1;3.76;6.34;0.99;54;0.03;NA;NA;33;0
64;TRUE;FALSE;mmas;3;1.26;1.34;0.49;6;NA;NA;NA;10;1
65;FALSE;FALSE;mmas;1;4.03;5.02;0.04;36;NA;NA;NA;31;0
66;FALSE;FALSE;acs;3;1.53;0.02;0.53;84;0.21;NA;NA;8;1
67;FALSE;FALSE;as;2;0.28;2.52;0.28;12;NA;NA;NA;43;0
68;FALSE;FALSE;ras;0;2.78;7.52;0.78;60;NA;7;NA;NA;NA
69;TRUE;FALSE;mmas;3;3.41;6.27;0.16;24;NA;NA;NA;25;1
70;FALSE;FALSE;ras;1;0.91;1.27;0.65;72;NA;95;NA;48;0
71;FALSE;FALSE;as;0;2.16;3.77;0.41;48;NA;NA;NA;NA;NA
72;FALSE;FALSE;eas;2;4.66;8.77;0.9;96;NA;NA;127;37;0
73;FALSE;FALSE;eas;1;2.47;6.89;0.34;78;NA;NA;362;5;0
74;TRUE;FALSE;as;3;4.97;1.89;0.84;30;NA;NA;NA;28;1
75;FALSE;FALSE;mmas;0;1.22;9.39;0.59;6;NA;NA;NA;NA;NA
76;FALSE;FALSE;acs;2;3.72;4.39;0.1;54;0.27;NA;NA;17;0
77;FALSE;FALSE;eas;2;1.84;8.14;0.72;42;NA;NA;81;11;0
78;FALSE;FALSE;acs;0;4.34;3.14;0.22;90;0.9;NA;NA;NA;NA
79;FALSE;FALSE;mmas;1;3.09;0.64;0.96;18;NA;NA;NA;23;0
80;FALSE;FALSE;ras;3;0.59;5.64;0.47;66;NA;26;NA;46;1
81;FALSE;FALSE;ras;3;2.94;2.83;0.68;9;NA;41;NA;33;0
82;FALSE;FALSE;as;1;0.44;7.83;0.19;57;NA;NA;NA;10;1
83;FALSE;FALSE;mmas;2;4.19;0.33;0.44;81;NA;NA;NA;21;1
84;FALSE;FALSE;acs;0;1.69;5.33;0.93;33;0.12;NA;NA;NA;NA
85;FALSE;FALSE;eas;0;3.56;1.58;0.31;69;NA;NA;151;NA;NA
86;FALSE;FALSE;acs;2;1.06;6.58;0.81;21;0.74;NA;NA;15;1
87;FALSE;FALSE;mmas;3;2.31;9.08;0.07;93;NA;NA;NA;50;0
88;FALSE;FALSE;ras;1;4.81;4.08;0.56;45;NA;79;NA;27;1
89;FALSE;FALSE;as;2;2.62;5.95;0.62;75;NA;NA;NA;36;1
90;FALSE;FALSE;eas;0;0.12;0.95;0.13;27;NA;NA;10;NA;NA
91;FALSE;FALSE;ras;3;3.87;8.45;0.38;51;NA;48;NA;24;0
92;FALSE;FALSE;as;0;2.37;3.84;0.74;12;NA;NA;NA;NA;NA
93;FALSE;FALSE;mmas;1;1.63;7.66;0.47;8;NA;NA;NA;41;1
94;FALSE;FALSE;mmas;3;2.56;5.06;0.1;72;NA;NA;NA;28;1
95;FALSE;FALSE;eas;2;2.49;6.66;0.24;19;NA;NA;131;14;1
96;FALSE;FALSE;as;3;4.97;2.4;0.92;46;NA;NA;NA;28;1
97;FALSE;FALSE;ras;1;1.06;2.62;0.77;14;NA;12;NA;22;1
98;FALSE;FALSE;mmas;3;0.78;5.81;0.35;30;NA;NA;NA;40;0
99;FALSE;FALSE;mmas;3;3.85;1.96;0.8;12;NA;NA;NA;11;1
100;FALSE;FALSE;eas;0;4.45;5.39;0.07;23;NA;NA;420;NA;NA
101;FALSE;FALSE;acs;3;0.33;0.24;0.1;31;0.23;NA;NA;5;1
102;FALSE;FALSE;as;0;0.36;4.58;0.46;37;NA;NA;NA;NA;NA
103;FALSE;FALSE;mmas;1;1.94;1.31;0.76;51;NA;NA;NA;35;0
104;FALSE;FALSE;as;0;0.49;3.44;0.61;8;NA;NA;NA;NA;NA
105;FALSE;FALSE;eas;1;2.51;5.07;0.3;42;NA;NA;456;26;1
106;FALSE;FALSE;acs;1;3.74;1.32;0.28;30;0.49;NA;NA;10;0
107;FALSE;FALSE;as;3;0.06;0.85;0.87;36;NA;NA;NA;20;1
108;FALSE;FALSE;mmas;0;1.98;5.96;0.59;45;NA;NA;NA;NA;NA
109;FALSE;FALSE;as;3;0.84;2.89;0.37;14;NA;NA;NA;15;1
110;FALSE;FALSE;ras;3;3.48;8.71;0.96;58;NA;83;NA;7;1
111;FALSE;FALSE;acs;0;3.08;4.73;0.12;57;0.55;NA;NA;NA;NA
112;FALSE;FALSE;mmas;1;0.52;2.59;0.52;22;NA;NA;NA;20;1
113;FALSE;FALSE;ras;1;4.11;4.61;0.7;68;NA;6;NA;37;1
114;TRUE;FALSE;acs;3;4.71;2.52;0.46;59;0.42;NA;NA;25;0
115;FALSE;FALSE;eas;3;4.52;2.44;0.4;16;NA;NA;124;15;1
116;TRUE;FALSE;mmas;3;3.38;5.23;0.37;16;NA;NA;NA;49;1
117;FALSE;FALSE;eas;0;4.95;3.4;0.73;17;NA;NA;482;NA;NA
118;FALSE;FALSE;eas;1;2.91;3.75;0.77;87;NA;NA;342;24;0
119;FALSE;FALSE;acs;3;0.42;5.6;0.37;6;0.91;NA;NA;17;1
120;FALSE;FALSE;mmas;2;2.63;0.19;0.56;9;NA;NA;NA;5;1
121;FALSE;FALSE;acs;0;4.61;2.03;0.25;9;0.43;NA;NA;NA;NA
122;FALSE;FALSE;acs;2;1.2;3.35;0.76;71;0.34;NA;NA;40;1
123;FALSE;FALSE;as;2;1.74;0.74;0.1;13;NA;NA;NA;13;1
124;FALSE;FALSE;eas;1;2.71;6.91;0.48;21;NA;NA;582;5;1
125;FALSE;FALSE;eas;3;1.17;3.18;0.36;32;NA;NA;737;24;1
126;FALSE;FALSE;mmas;3;3.72;7.68;0.05;59;NA;NA;NA;30;1
127;TRUE;FALSE;mmas;3;3.55;9.51;0.47;57;NA;NA;NA;34;1
128;FALSE;FALSE;eas;1;3.4;1.36;0.86;36;NA;NA;121;31;0
129;FALSE;FALSE;mmas;1;2.54;1.3;0.21;61;NA;NA;NA;21;0
130;FALSE;FALSE;ras;0;4.14;4.2;0.56;20;NA;14;NA;NA;NA
131;FALSE;FALSE;acs;0;1.84;0.84;0.6;33;0.15;NA;NA;NA;NA
132;FALSE;FALSE;eas;0;1.39;2.62;0.23;32;NA;NA;625;NA;NA
133;FALSE;FALSE;acs;1;3.27;8.95;0.43;18;0.62;NA;NA;32;1
134;FALSE;FALSE;mmas;3;4.92;0.7;0.88;32;NA;NA;NA;14;0
135;FALSE;FALSE;mmas;1;1.96;2.33;0.34;40;NA;NA;NA;9;1
136;FALSE;FALSE;ras;1;0.66;3.48;0.28;26;NA;59;NA;5;1
137;FALSE;FALSE;mmas;3;4.06;6.92;0.82;47;NA;NA;NA;38;1
138;FALSE;FALSE;mmas;0;1.99;4.78;0.95;74;NA;NA;NA;NA;NA
139;FALSE;FALSE;ras;2;1.43;0.35;0.56;44;NA;32;NA;11;0
140;FALSE;FALSE;ras;2;4.2;2.65;0.66;39;NA;39;NA;8;1
141;FALSE;FALSE;ras;1;3.98;2.04;0.6;37;NA;82;NA;21;1
142;FALSE;FALSE;mmas;2;4.24;2.79;0.01;6;NA;NA;NA;28;1
143;FALSE;FALSE;eas;2;4.32;8.05;0.02;89;NA;NA;493;35;1
144;FALSE;FALSE;eas;3;4.03;3.48;0.92;20;NA;NA;343;8;0
145;FALSE;FALSE;ras;2;4.04;3.45;0.65;22;NA;98;NA;27;1
146;FALSE;FALSE;ras;2;1.06;4.59;0.07;25;NA;53;NA;29;1
147;FALSE;FALSE;ras;3;2.92;6.21;0.5;84;NA;16;NA;25;1
148;FALSE;FALSE;eas;3;2.21;3.97;0.48;52;NA;NA;543;9;1
149;FALSE;FALSE;acs;2;4.15;8.07;0.19;83;0.05;NA;NA;24;1
150;FALSE;FALSE;as;0;2.35;5.02;0.08;12;NA;NA;NA;NA;NA
151;FALSE;FALSE;mmas;2;3.24;3.48;0.36;53;NA;NA;NA;14;1
152;FALSE;FALSE;acs;0;3.89;2.07;0.26;25;0.48;NA;NA;NA;NA
153;FALSE;FALSE;mmas;3;0.32;2.03;0.03;12;NA;NA;NA;21;1
154;FALSE;FALSE;as;3;3.82;3.77;0.63;43;NA;NA;NA;33;0
155;FALSE;FALSE;eas;3;1;7.23;0.13;18;NA;NA;741;50;1
156;FALSE;FALSE;acs;0;4.78;7.19;0.1;5;0.75;NA;NA;NA;NA
157;FALSE;FALSE;mmas;3;3.59;4.64;0.41;7;NA;NA;NA;21;0
158;FALSE;FALSE;ras;3;1.35;4.78;0.23;69;NA;68;NA;30;1
159;FALSE;FALSE;mmas;0;0.34;3.75;0.14;21;NA;NA;NA;NA;NA
160;FALSE;FALSE;eas;2;4.15;5.53;0.7;32;NA;NA;202;8;1
