CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;ras;3;0.06;1.47;0.49;77;NA;45;NA;48;0
2;FALSE;FALSE;mmas;1;2.56;6.47;0.99;29;NA;NA;NA;25;1
3;FALSE;FALSE;eas;0;3.81;8.97;0.24;53;NA;NA;331;NA;NA
4;FALSE;FALSE;as;2;1.31;3.97;0.74;5;NA;NA;NA;14;1
5;FALSE;FALSE;mmas;3;4.43;5.22;0.86;17;NA;NA;NA;31;0
6;FALSE;FALSE;acs;1;1.93;0.22;0.37;65;0.65;NA;NA;8;1
7;FALSE;FALSE;as;0;0.68;2.72;0.62;41;NA;NA;NA;NA;NA
8;FALSE;FALSE;ras;2;3.18;7.72;0.12;89;NA;58;NA;20;1
9;FALSE;FALSE;acs;0;2.87;4.6;0.8;95;0.84;NA;NA;NA;NA
10;FALSE;FALSE;mmas;2;0.37;9.6;0.31;47;NA;NA;NA;40;1
11;FALSE;FALSE;as;1;4.12;2.1;0.06;23;NA;NA;NA;28;1
12;FALSE;FALSE;eas;3;1.62;7.1;0.55;71;NA;NA;97;5;0
13;FALSE;FALSE;eas;0;2.25;8.35;0.43;11;NA;NA;190;NA;NA
14;FALSE;FALSE;acs;2;4.75;3.35;0.92;59;0.46;NA;NA;34;1
15;FALSE;FALSE;ras;1;1;5.85;0.68;83;NA;77;NA;45;1
16;TRUE;FALSE;mmas;3;3.5;0.85;0.18;35;NA;NA;NA;22;0
17;FALSE;FALSE;eas;2;3.03;1.79;0.58;86;NA;NA;308;38;0
18;FALSE;FALSE;acs;0;0.53;6.79;0.09;38;0.18;NA;NA;NA;NA
19;FALSE;FALSE;ras;3;4.28;4.29;0.34;14;NA;30;NA;27;1
20;FALSE;FALSE;mmas;1;1.78;9.29;0.83;62;NA;NA;NA;50;0
21;FALSE;FALSE;mmas;0;4.9;0.54;0.71;74;NA;NA;NA;NA;NA
22;TRUE;FALSE;acs;2;2.4;5.54;0.21;26;0.56;NA;NA;44;0
23;FALSE;FALSE;ras;1;3.65;3.04;0.46;50;NA;92;NA;32;0
24;FALSE;FALSE;as;3;1.15;8.04;0.96;98;NA;NA;NA;9;1
25;FALSE;FALSE;as;0;3.34;6.16;0.28;80;NA;NA;NA;NA;NA
26;FALSE;FALSE;eas;2;0.84;1.16;0.77;32;NA;NA;261;12;0
27;FALSE;FALSE;mmas;3;2.09;3.66;0.03;56;NA;NA;NA;47;1
28;FALSE;FALSE;ras;1;4.59;8.66;0.52;8;NA;98;NA;24;0
29;FALSE;FALSE;eas;1;0.21;4.91;0.15;92;NA;NA;167;7;0
30;TRUE;FALSE;acs;3;2.71;9.91;0.65;44;0.99;NA;NA;30;1
31;FALSE;FALSE;ras;0;1.46;2.41;0.89;20;NA;11;NA;NA;NA
32;FALSE;FALSE;as;2;3.96;7.41;0.4;68;NA;NA;NA;18;0
33;FALSE;FALSE;as;1;2.95;7.88;0.72;57;NA;NA;NA;45;0
34;FALSE;FALSE;ras;3;0.45;2.88;0.23;9;NA;25;NA;22;1
35;FALSE;FALSE;eas;2;1.7;0.38;0.97;81;NA;NA;694;33;0
36;FALSE;FALSE;acs;0;4.2;5.38;0.48;33;0.42;NA;NA;NA;NA
37;FALSE;FALSE;mmas;0;1.07;1.63;0.85;69;NA;NA;NA;NA;NA
38;FALSE;FALSE;ras;2;3.57;6.63;0.35;21;NA;88;NA;50;0
39;FALSE;FALSE;eas;1;2.32;4.13;0.1;45;NA;NA;413;39;0
40;FALSE;FALSE;as;3;4.82;9.13;0.6;93;NA;NA;NA;16;1
41;FALSE;FALSE;acs;3;1.39;8.5;0.79;51;0.73;NA;NA;36;1
42;FALSE;FALSE;eas;1;3.89;3.5;0.29;99;NA;NA;554;13;0
43;FALSE;FALSE;ras;0;2.64;1;0.54;27;NA;44;NA;NA;NA
44;FALSE;FALSE;mmas;2;0.14;6;0.04;75;NA;NA;NA;25;0
45;FALSE;FALSE;as;0;2.01;7.25;0.17;87;NA;NA;NA;NA;NA
46;FALSE;FALSE;eas;2;4.51;2.25;0.66;39;NA;NA;647;7;0
47;FALSE;FALSE;acs;1;0.76;9.75;0.91;15;0.1;NA;NA;19;0
48;FALSE;FALSE;mmas;3;3.26;4.75;0.41;63;NA;NA;NA;42;1
49;FALSE;FALSE;mmas;0;3.73;9.44;0.01;6;NA;NA;NA;NA;NA
50;FALSE;FALSE;acs;2;1.23;4.44;0.51;54;0.2;NA;NA;29;1
51;FALSE;FALSE;ras;1;4.98;6.94;0.75;78;NA;72;NA;40;1
52;FALSE;FALSE;as;3;2.48;1.94;0.26;30;NA;NA;NA;17;0
53;FALSE;FALSE;mmas;2;4.36;8.19;0.14;42;NA;NA;NA;46;1
54;FALSE;FALSE;ras;0;1.86;3.19;0.63;90;NA;34;NA;NA;NA
55;FALSE;FALSE;eas;3;3.11;5.69;0.88;66;NA;NA;483;12;0
56;FALSE;FALSE;as;1;0.61;0.69;0.38;18;NA;NA;NA;35;1
57;FALSE;FALSE;as;0;4.67;3.82;0.94;48;NA;NA;NA;NA;NA
58;FALSE;FALSE;ras;2;2.17;8.82;0.45;96;NA;91;NA;26;1
59;FALSE;FALSE;eas;3;0.92;6.32;0.69;24;NA;NA;436;38;0
60;FALSE;FALSE;acs;1;3.42;1.32;0.2;72;0.89;NA;NA;15;1
61;FALSE;FALSE;eas;0;0.29;7.57;0.32;60;NA;NA;718;NA;NA
62;FALSE;FALSE;as;2;2.79;2.57;0.82;12;NA;NA;NA;9;1
63;FALSE;FALSE;acs;3;4.04;0.07;0.07;84;0.26;NA;NA;43;0
